"game_name","time","home_team","away_team","home_half_score","away_half_score","home_final_score","away_final_score","start_handicap_odd","start_goals_odd"
"科青联","19/11/12 00:00","艾尔萨尔米亚 20岁..","阿尔法哈西尔 20岁..","0 "," 0","0 "," 3","0.0 "," 3.0 "
"国女U20","19/11/12 00:00","法国 20岁以下 女子","俄罗斯 20岁以下 女子","1 "," 0","2 "," 1","-2 "," 3.25 "
"科青联","19/11/12 00:01","Kazma SC 20岁以下","亚蒙克 20岁以下","1 "," 0","4 "," 1","-1.5 "," 3.5 "
"其他比赛","19/11/12 00:04","SEMP Ursynow","Perla Zlotoklos","4 "," 1","5 "," 1","-1.25 "," 7.25 "
"科青联","19/11/12 00:04","多哈艾阿拉比 20岁..","Al Qadsia SC 20岁..","0 "," 1","2 "," 3","-0.25 "," 3.0 "
"苏丹联赛","19/11/12 00:33","阿赫利喀土穆","Merreikh法希尔","0 "," 0","0 "," 1","-0.5 "," 2.25 "
"以甲","19/11/12 00:59","乌姆阿法姆夏普尔","FC卡法尔卡瑟姆","1 "," 1","3 "," 3","0.0 "," 2.25 "
"以甲","19/11/12 01:00","阿基纳扎力马卡比","贝塔尔特拉维夫拉姆拉","0 "," 1","1 "," 2","0.0 "," 2.25 "
"国女U20","19/11/12 01:00","巴拿马 20岁以下 女子","洪都拉斯 20岁以下 ..","1 "," 0","1 "," 0","-0.75 "," 2.75 "
"以甲","19/11/12 01:01","哈普尔卡塔蒙耶路撒冷","佩塔克-蒂克","1 "," 0","1 "," 1","+0.25 "," 2.25 "
"希腊超","19/11/12 01:30","拉里萨","拉弥亚","0 "," 1","0 "," 3","-0.5 "," 2.0 "
"非杯U23","19/11/12 02:00","埃及 23岁以下","加纳 23岁以下","1 "," 1","3 "," 2","-0.25 "," 1.75 "
"德丙","19/11/12 02:01","明斯特","布伦斯维克","0 "," 0","1 "," 1","+0.25 "," 2.5 "
"巴东北杯U20","19/11/12 02:03","福塔雷萨 20岁以下","马里利亚MA 20岁以下","0 "," 1","1 "," 2","-1.25 "," 3.25 "
"阿女锦","19/11/12 02:06","Social Atletico Te..","拉普拉塔大学生 女子","0 "," 0","0 "," 0","0.0 "," 4.0 "
"阿丁曼特","19/11/12 02:29","Deportivo Liniers","祖文图德尤尼达","0 "," 0","3 "," 1","-0.25 "," 2.0 "
"阿PCM","19/11/12 02:29","埃尔波韦尼尔","意大利人竞技","0 "," 1","0 "," 1","+0.75 "," 2.0 "
"阿丁曼特","19/11/12 02:30","穆尼斯","CA阿特拿斯","0 "," 0","1 "," 1","+0.5 "," 1.75 "
"阿PCM","19/11/12 02:31","莱安阿拉姆","梅洛小阿根廷","1 "," 0","2 "," 1","-0.25 "," 2.0 "
"比利时后","19/11/12 02:32","圣图尔登 后备队","根特 后备队","0 "," 1","0 "," 4","+3 "," 4.5 "
"阿乙","19/11/12 02:32","利斯特雷","贝尔格拉诺防卫者","0 "," 0","0 "," 0","0.0 "," 1.75 "
"比利时后","19/11/12 02:33","华斯兰德 后备队","欧本 后备队","1 "," 0","2 "," 2","-0.25 "," 3.25 "
"比利时后","19/11/12 02:35","威尔郡 后备队","色格拉布鲁日 后备队","0 "," 1","0 "," 5","-0.5 "," 3.25 "
"比利时后","19/11/12 02:39","洛克伦 后备队","维通 后备队","1 "," 2","2 "," 3","-0.75 "," 3.0 "
"乌拉圭后","19/11/12 03:00","佩纳罗尔 后备队","佩莱札 后备队","1 "," 0","2 "," 0","-1.0 "," 3.0 "
"乌拉圭后","19/11/12 03:00","利物浦蒙特维的亚 ..","蒙特维迪奥流浪者 ..","1 "," 3","2 "," 4","-0.25 "," 3.0 "
"比利时后","19/11/12 03:01","梅赫伦 后备队","亨克 后备队","1 "," 0","3 "," 0","-1.0 "," 3.75 "
"英超杯U23","19/11/12 03:01","阿斯顿维拉 23岁以下","唐卡斯特 23岁以下","0 "," 0","0 "," 1","-1.0 "," 3.25 "
"比利时后","19/11/12 03:01","罗斯勒 后备队","奥斯坦德 后备队","0 "," 3","1 "," 3","+0.75 "," 3.0 "
"英超杯U23","19/11/12 03:02","维冈 23岁以下","哈德斯菲尔德 23岁..","1 "," 1","1 "," 1","-0.75 "," 3.25 "
"乌拉圭后","19/11/12 03:02","波士顿河后备队","捍卫者竞技 后备队","0 "," 0","1 "," 1","+0.75 "," 3.0 "
"比利时后","19/11/12 03:02","圣吉罗斯联 后备队","科特赖克 后备队","0 "," 2","0 "," 2","+0.75 "," 3.25 "
"比利时后","19/11/12 03:02","洛默尔 后备队","KFCO比尔肖特维尔赖..","2 "," 1","2 "," 1","-0.75 "," 3.75 "
"意大利丙B","19/11/12 03:03","拉文纳","AC费拉尔皮沙洛","1 "," 2","1 "," 2","+0.5 "," 2.25 "
"乌拉圭后","19/11/12 03:05","蒙特维多国民 后备队","Fenix竞技 后备队","1 "," 0","2 "," 3","-1.25 "," 3.0 "
"爱冠军杯","19/11/12 03:08","唐道克","林菲尔德","3 "," 0","6 "," 0","-1.25 "," 2.5 "
"德乙","19/11/12 03:31","卡尔斯鲁厄","艾尔格博格","0 "," 1","1 "," 1","-0.75 "," 2.75 "
"苏后备","19/11/12 03:32","东斯特灵郡 后备队","BSC格拉斯哥 后备队","3 "," 1","7 "," 2","-1.0 "," 4.0 "
"法乙","19/11/12 03:45","罗德兹","朗斯","1 "," 1","1 "," 2","+0.25 "," 2.0 "
"英北挑战杯","19/11/12 03:46","金斯高路华","Warrington Town","0 "," 1","2 "," 2","+0.75 "," 3.0 "
"北爱超","19/11/12 03:46","Larne","十字军","0 "," 0","0 "," 0","0.0 "," 3.25 "
"苏后备","19/11/12 03:47","女王公园 后备队","利云斯顿 后备队","0 "," 1","2 "," 1","+1.25 "," 3.25 "
"苏后备","19/11/12 03:48","艾迪尔人 后备队","艾尔 后备队","1 "," 0","2 "," 1","-0.25 "," 3.25 "
"意大利丙C","19/11/12 03:48","阿韦利诺","普利司通","0 "," 2","0 "," 2","+0.25 "," 2.0 "
"苏后备","19/11/12 03:50","阿尔比恩 后备队","东基尔布莱德 后备队","0 "," 0","0 "," 0","-0.5 "," 3.25 "
"爱伦高联","19/11/12 04:00","Larkview Boys","Fairview CY","0 "," 3","0 "," 3","-1.0 "," 3.5 "
"爱伦高联","19/11/12 04:04","拉托特竖琴","Ayrfield United","0 "," 2","1 "," 2","+0.25 "," 3.75 "
"英足总杯","19/11/12 04:42","哈罗盖特城","朴茨茅斯","1 "," 2","1 "," 2","+1.0 "," 2.75 "
"国女U20","19/11/12 05:00","危地马拉 女子 20岁..","伯利兹 20岁以下 女子","4 "," 1","9 "," 1","-3 "," 4.0 "
"巴拉甲","19/11/12 05:01","亚森松自由","迪亚兹将军","1 "," 1","3 "," 1","-1.25 "," 2.5 "
"阿乙","19/11/12 05:10","查卡瑞塔青年","堤格雷","0 "," 1","0 "," 3","+0.25 "," 2.0 "
"巴圣锦U20","19/11/12 06:00","彭美拉斯 20岁以下","圣保罗 20岁以下","0 "," 1","1 "," 1","-0.25 "," 2.25 "
"墨女超","19/11/12 06:00","莫雷利亚君主 女子","韦拉克鲁斯 女子","2 "," 0","3 "," 1","-1.25 "," 2.75 "
"巴西赛事","19/11/12 06:28","新汉堡 19岁以下","格雷米奥 19岁以下","0 "," 1","0 "," 1","+0.75 "," 2.75 "
"墨乙","19/11/12 06:59","拉佩达德","Inter普拉亚德尔卡曼","1 "," 0","2 "," 1","-0.25 "," 2.5 "
"巴拉甲","19/11/12 07:00","桑坦尼体育会","亚松森奥林匹亚","0 "," 0","0 "," 1","+1.0 "," 3.0 "
"巴甲","19/11/12 07:00","博塔弗戈","阿瓦伊","1 "," 0","2 "," 0","-0.75 "," 2.0 "
"阿乙曼特","19/11/12 08:09","洛斯安第斯","弗兰德利亚","2 "," 1","2 "," 2","-0.25 "," 1.75 "
"阿TA","19/11/12 08:34","CA Chaco For Ever","萨米恩托","1 "," 0","3 "," 0","0.0 "," 2.0 "
"巴西乙","19/11/12 08:59","库亚巴","阿美利加MG","0 "," 1","0 "," 2","0.0 "," 2.0 "
"牙甲","19/11/12 08:59","港景FC","阿内特花园","0 "," 0","0 "," 3","-0.25 "," 2.0 "
"墨女超","19/11/12 09:00","托卢卡女子","拉古纳桑托斯 女子","0 "," 0","2 "," 0","-1.0 "," 2.75 "
"墨女超","19/11/12 09:01","帕丘卡 女子","瓜达拉哈拉 女子","0 "," 0","1 "," 2","-0.25 "," 3.0 "
"墨女超","19/11/12 11:01","蒙特雷 女子","国立自治大学俱乐部..","1 "," 0","2 "," 1","-2.25 "," 3.5 "
"印班超","19/11/12 16:08","班加罗尔 Independe..","Income Tax SC","2 "," 0","3 "," 0","-0.5 "," 3.0 "
"印尼超","19/11/12 16:29","万隆","阿雷马","3 "," 0","3 "," 0","-0.5 "," 2.5 "
"印度区杯","19/11/12 16:36","锡金喜马拉雅SC","莫哈末丹","0 "," 1","1 "," 2","+0.25 "," 2.5 "
"国际女子","19/11/12 17:02","澳大利亚 女子","智利 女子","1 "," 0","1 "," 0","-1.75 "," 3.25 "
"印SPL","19/11/12 17:06","西隆拉庄 FC","Ryntih SC","2 "," 0","4 "," 0","-0.75 "," 2.75 "
"印班超","19/11/12 18:11","Ozone FC","ADE FC","0 "," 0","2 "," 0","-0.75 "," 3.0 "
"欧洲友谊","19/11/12 19:05","安特卫普 后备队","多德勒支 后备队","1 "," 1","3 "," 1","-1.25 "," 3.5 "
"伊朗甲","19/11/12 19:32","Melli Hafari","克尔曼沙赫比萨特","1 "," 1","2 "," 1","-0.25 "," 2.0 "
"沙特甲","19/11/12 20:05","斯霍拉","阿尔泰","3 "," 0","5 "," 0","-0.25 "," 2.5 "
"塞尔U19","19/11/12 20:11","TSC巴奇卡托波拉 19..","FK Brodarac 19岁以下","0 "," 2","2 "," 3","+2.25 "," 3.75 "
"沙特甲","19/11/12 20:21","布凯里耶","阿尔科巴尔","1 "," 0","2 "," 0","0.0 "," 2.5 "
"埃及乙","19/11/12 20:29","阿布卡尔瑟梅德","Biyala SC","1 "," 0","1 "," 1","-0.5 "," 2.25 "
"埃及乙","19/11/12 20:30","Pharco FC","哈曼亚历山大","2 "," 1","4 "," 2","-0.25 "," 2.0 "
"埃及乙","19/11/12 20:31","艾尔扎亚特","阿拉布达曼豪尔","0 "," 0","1 "," 1","0.0 "," 2.0 "
"埃及乙","19/11/12 20:33","曼苏拉","巴拉蒂耶","0 "," 1","1 "," 1","-0.25 "," 2.0 "
"埃及乙","19/11/12 20:33","Dekernes","曼哈拉","0 "," 0","2 "," 0","0.0 "," 2.25 "
"阿后备","19/11/12 20:37","阿雷纳斯胜利 后备队","鲁祖尼后备队","1 "," 0","1 "," 0","-0.75 "," 2.75 "
"乌干达超","19/11/12 20:59","姆巴拉拉城","Onduparaka FC","1 "," 0","2 "," 1","0.0 "," 2.25 "
"欧锦女资","19/11/12 21:01","希腊 女子","爱尔兰 女子","0 "," 1","1 "," 1","+0.5 "," 2.5 "
"英高杯","19/11/12 21:01","伯恩利 特选队","菲尔德 特选队","1 "," 0","3 "," 1","-1.0 "," 3.0 "
"欧锦女资","19/11/12 21:16","意大利 女子","马耳他 女子","4 "," 0","5 "," 0","-5.25 "," 5.75 "
"乌干达超","19/11/12 21:28","布索加联队","马龙","0 "," 0","1 "," 1","-0.25 "," 2.25 "
"乌干达超","19/11/12 21:28","凯土穆FC","瓦基索巨人","0 "," 1","0 "," 3","+0.25 "," 2.0 "
"乌干达超","19/11/12 21:29","普罗兰","Bright Stars","1 "," 1","2 "," 1","0.0 "," 2.0 "
"乌干达超","19/11/12 21:33","韦珀斯SC","URA","0 "," 0","1 "," 0","-0.75 "," 2.0 "
"国际女子","19/11/12 21:47","阿根廷 女子","哥伦比亚 女子","0 "," 1","2 "," 2","-0.5 "," 2.25 "
"苏后备","19/11/12 21:59","邓迪联 后备队","圣米伦 后备队","2 "," 1","2 "," 3","-1.75 "," 4.25 "
"苏后备","19/11/12 21:59","慕顿 后备队","罗斯郡 后备队","0 "," 2","1 "," 4","+0.75 "," 3.5 "
"苏后备","19/11/12 22:01","汉密尔顿 后备队","哈茨 后备队","2 "," 1","3 "," 2","-1.0 "," 3.75 "
"荷后备","19/11/12 22:01","格罗宁根 后备队","费耶诺德 后备队","1 "," 0","3 "," 3","-1.5 "," 3.25 "
"女奥资格","19/11/12 22:32","喀麦隆 女子","科特迪瓦 女子","1 "," 0","2 "," 1","-0.75 "," 2.0 "
"巴林杯","19/11/12 22:56","穆哈拉格","阿赫利 马纳马","1 "," 0","1 "," 0","0.0 "," 3.0 "
"巴林杯","19/11/12 22:56","麦纳麦沙巴布","伊蒂法克(巴林)","1 "," 0","2 "," 3","-2.5 "," 3.75 "
"巴林杯","19/11/12 22:57","麦纳麦","马勒基亚","2 "," 0","2 "," 0","-1.0 "," 3.0 "
"巴林杯","19/11/12 22:58","东里发","卡拉利","1 "," 0","7 "," 0","-1.5 "," 3.25 "
"非杯U23","19/11/12 23:00","科特迪瓦 23岁以下","南非 23岁以下","0 "," 0","0 "," 1","-0.25 "," 2.0 "